Encryption_Algorithm,Key_Exchange_Time,Average_Encryption_Time,Average_Decryption_Time,Peak_Protocol_Memory
1_AES_GCM_128,0.00015133200213313103,6.813639542087913e-06,6.170948792714625e-06,960
2_AES_GCM_128,0.00013977003982290626,6.745693157427013e-06,6.010920973494649e-06,960
1_AES_GCM_256,0.00014025898417457938,6.9178580888547e-06,6.143683742266149e-06,960
2_AES_GCM_256,0.0001389299868606031,6.758007395546884e-06,6.163008627481759e-06,960
1_AES_CCM_128,0.00013912701979279518,6.072935299016535e-06,5.252008675597608e-06,416
2_AES_CCM_128,0.00014808500418439507,6.161843717563897e-06,5.390026199165732e-06,416
1_AES_CCM_256,0.00014103599824011326,6.253320665564388e-06,5.307849496603012e-06,416
2_AES_CCM_256,0.00013961002696305513,6.301406596321613e-06,5.377345543820411e-06,416
1_CHACHA_256,0.0001442099455744028,7.183301320765167e-06,6.367832655087114e-06,856
2_CHACHA_256,0.00014968600589782,7.138674089219421e-06,6.381412269547581e-06,856
